station_complex_id,Station,Line Name,Division,Notes,unique_ID
H007,1 AV,L,BMT,,1 AV-L-BMT
N037,103 ST,BC,IND,,103 ST-BC-IND
R170,103 ST,1,IRT,,103 ST-1-IRT
R252,103 ST,6,IRT,,103 ST-6-IRT
R529,103 ST-CORONA,7,IRT,,103 ST-CORONA-7-IRT
J034,104 ST,JZ,BMT,,104 ST-JZ-BMT
N137,104 ST,A,IND,,104 ST-A-IND
R254,110 ST,6,IRT,,110 ST-6-IRT
J035,111 ST,J,BMT,,111 ST-J-BMT
N139,111 ST,A,IND,,111 ST-A-IND
R530,111 ST,7,IRT,,111 ST-7-IRT
N030,116 ST,BC,IND,,116 ST-BC-IND
R256,116 ST,6,IRT,,116 ST-6-IRT
R302,116 ST,23,IRT,,116 ST-23-IRT
R173,116 ST-COLUMBIA,1,IRT,,116 ST-COLUMBIA-1-IRT
J037,121 ST,JZ,BMT,,121 ST-JZ-BMT
N026,125 ST,ACBD,IND,,125 ST-ACBD-IND
R174,125 ST,1,IRT,,125 ST-1-IRT
R258,125 ST,456,IRT,,125 ST-456-IRT
R304,125 ST,23,IRT,,125 ST-23-IRT
N024,135 ST,BC,IND,,135 ST-BC-IND
R306,135 ST,23,IRT,,135 ST-23-IRT
R176,137 ST CITY COL,1,IRT,,137 ST CITY COL-1-IRT
R259,138/GRAND CONC,45,IRT,,138/GRAND CONC-45-IRT
N078,14 ST,ACEL,IND,In new dataset all L is in A034,14 ST-ACEL-IND
N512,14 ST,FLM123,IND,,14 ST-FLM123-IND
N512,14 ST,123FLM,IRT,,14 ST-123FLM-IRT
A034,14 ST-UNION SQ,LNQR456W,BMT,,14 ST-UNION SQ-LNQR456W-BMT
A034,14 ST-UNION SQ,456LNQRW,IRT,,14 ST-UNION SQ-456LNQRW-IRT
N019,145 ST,ABCD,IND,,145 ST-ABCD-IND
R178,145 ST,1,IRT,,145 ST-1-IRT
R308,145 ST,3,IRT,,145 ST-3-IRT
R261,149/GRAND CONC,245,IRT,,149/GRAND CONC-245-IRT
N542,15 ST-PROSPECT,FG,IND,,15 ST-PROSPECT-FG-IND
N017,155 ST,C,IND,,155 ST-C-IND
N202,155 ST,BD,IND,,155 ST-BD-IND
R180,157 ST,1,IRT,,157 ST-1-IRT
N203,161/YANKEE STAD,BD4,IND,,161/YANKEE STAD-BD4-IND
N203,161/YANKEE STAD,4BD,IRT,,161/YANKEE STAD-4BD-IRT
N016A,163 ST-AMSTERDM,C,IND,,163 ST-AMSTERDM-C-IND
N207,167 ST,BD,IND,,167 ST-BD-IND
R283,167 ST,4,IRT,,167 ST-4-IRT
R182,168 ST,AC1,IND,,168 ST-AC1-IND
R182,168 ST,1AC,IRT,,168 ST-1AC-IRT
N340A,169 ST,F,IND,,169 ST-F-IND
N209,170 ST,BD,IND,,170 ST-BD-IND
R284,170 ST,4,IRT,,170 ST-4-IRT
R322,174 ST,25,IRT,,174 ST-25-IRT
N210,174-175 STS,BD,IND,,174-175 STS-BD-IND
N010,175 ST,A,IND,,175 ST-A-IND
R286,176 ST,4,IRT,,176 ST-4-IRT
D008,18 AV,N,BMT,,18 AV-N-BMT
E012,18 AV,D,BMT,,18 AV-D-BMT
N549,18 AV,F,IND,,18 AV-F-IND
R129,18 ST,1,IRT,,18 ST-1-IRT
N007A,181 ST,A,IND,,181 ST-A-IND
R183,181 ST,1,IRT,,181 ST-1-IRT
N215,182-183 STS,BD,IND,,182-183 STS-BD-IND
R288,183 ST,4,IRT,,183 ST-4-IRT
N006A,190 ST,A,IND,,190 ST-A-IND
R185,191 ST,1,IRT,,191 ST-1-IRT
N523,2 AV,F,IND,,2 AV-F-IND
D009,20 AV,N,BMT,,20 AV-N-BMT
E013,20 AV,D,BMT,,20 AV-D-BMT
R188,207 ST,1,IRT,,207 ST-1-IRT
N401,21 ST,G,IND,,21 ST-G-IND
N603,21 ST-QNSBRIDGE,F,IND,,21 ST-QNSBRIDGE-F-IND
R190,215 ST,1,IRT,,215 ST-1-IRT
R332,219 ST,25,IRT,,219 ST-25-IRT
R333,225 ST,25,IRT,,225 ST-25-IRT
A030,23 ST,NRW,BMT,,23 ST-NRW-BMT
N076,23 ST,CE,IND,,23 ST-CE-IND
N508,23 ST,FM,IND,,23 ST-FM-IND
R131,23 ST,1,IRT,,23 ST-1-IRT
R226,23 ST,6,IRT,,23 ST-6-IRT
R194,231 ST,1,IRT,,231 ST-1-IRT
R334,233 ST,25,IRT,,233 ST-25-IRT
R196,238 ST,1,IRT,,238 ST-1-IRT
E015,25 AV,D,BMT,,25 AV-D-BMT
C016,25 ST,R,BMT,,25 ST-R-BMT
A027,28 ST,NRW,BMT,,28 ST-NRW-BMT
R133,28 ST,1,IRT,,28 ST-1-IRT
R228,28 ST,6,IRT,,28 ST-6-IRT
H006,3 AV,L,BMT,,3 AV-L-BMT
R401,3 AV 138 ST,6,IRT,,3 AV 138 ST-6-IRT
R310,3 AV-149 ST,25,IRT,,3 AV-149 ST-25-IRT
R513,30 AV,NQW,BMT,,30 AV-NQW-BMT
R231,33 ST,6,IRT,,33 ST-6-IRT
R516,33 ST-RAWSON ST,7,IRT,,33 ST-RAWSON ST-7-IRT
A022,34 ST-HERALD SQ,BDFMNQRW,BMT,,34 ST-HERALD SQ-BDFMNQRW-BMT
A022,34 ST-HERALD SQ,BDFMNQRW,IND,,34 ST-HERALD SQ-BDFMNQRW-IND
R550,34 ST-HUDSON YD,7,IRT,,34 ST-HUDSON YD-7-IRT
N070,34 ST-PENN STA,ACE,IND,,34 ST-PENN STA-ACE-IND
R135,34 ST-PENN STA,123,IRT,,34 ST-PENN STA-123-IRT
R135,34 ST-PENN STA,123ACE,IRT,In new dataset all ACE in N070 and 123 in R135,34 ST-PENN STA-123ACE-IRT
R511,36 AV,NQW,BMT,,36 AV-NQW-BMT
C018,36 ST,DNR,BMT,,36 ST-DNR-BMT
N312,36 ST,MR,IND,,36 ST-MR-IND
R510,39 AV,NQW,BMT,,39 AV-NQW-BMT
C012,4 AV-9 ST,DFGMNR,IND,,4 AV-9 ST-DFGMNR-IND
R518,40 ST LOWERY ST,7,IRT,,40 ST LOWERY ST-7-IRT
N060,42 ST-BRYANT PK,BDFM7,IND,,42 ST-BRYANT PK-BDFM7-IND
N060,42 ST-PORT AUTH,ACENGRS1237W,IND,,42 ST-PORT AUTH-ACENGRS1237W-IND
N060,42 ST-PORT AUTH,ACENQRS1237W,IND,,42 ST-PORT AUTH-ACENQRS1237W-IND
C019,45 ST,R,BMT,,45 ST-R-BMT
N316,46 ST,MR,IND,,46 ST-MR-IND
R519,46 ST BLISS ST,7,IRT,,46 ST BLISS ST-7-IRT
N500,47-50 STS ROCK,BDFM,IND,,47-50 STS ROCK-BDFM-IND
A013,49 ST,NQRW,BMT,,49 ST-NQRW-BMT
C012,4AV-9 ST,DFGMNR,BMT,,4AV-9 ST-DFGMNR-BMT
N303,5 AV/53 ST,EM,IND,,5 AV/53 ST-EM-IND
A006,5 AV/59 ST,NQRW,BMT,,5 AV/59 ST-NQRW-BMT
N060,5 AVE,7BDFM,IRT,,5 AVE-7BDFM-IRT
E004,50 ST,D,BMT,,50 ST-D-BMT
N056,50 ST,CE,IND,,50 ST-CE-IND
R154,50 ST,1,IRT,,50 ST-1-IRT
N305,51 ST,6,IRT,,51 ST-6-IRT
R521,52 ST,7,IRT,,52 ST-7-IRT
C020,53 ST,R,BMT,,53 ST-R-BMT
E005,55 ST,D,BMT,,55 ST-D-BMT
N600,57 ST,F,IND,,57 ST-F-IND
A010,57 ST-7 AV,NQRW,BMT,,57 ST-7 AV-NQRW-BMT
A002,59 ST,456NQRW,IRT,,59 ST-456NQRW-IRT
C021,59 ST,NQR456W,BMT,,59 ST-NQR456W-BMT
C021,59 ST,NRW,BMT,,59 ST-NRW-BMT
N049,59 ST COLUMBUS,ABCD1,IND,,59 ST COLUMBUS-ABCD1-IND
N049,59 ST COLUMBUS,1ABCD,IRT,,59 ST COLUMBUS-1ABCD-IRT
N512,6 AV,FLM123,BMT,,6 AV-FLM123-BMT
R523,61 ST WOODSIDE,7,IRT,,61 ST WOODSIDE-7-IRT
N330B,63 DR-REGO PARK,MR,IND,,63 DR-REGO PARK-MR-IND
N322,65 ST,MR,IND,,65 ST-MR-IND
R160,66 ST-LINCOLN,1,IRT,,66 ST-LINCOLN-1-IRT
N331,67 AV,MR,IND,,67 AV-MR-IND
R246,68ST-HUNTER CO,6,IRT,,68ST-HUNTER CO-6-IRT
R524,69 ST,7,IRT,,69 ST-7-IRT
B004,7 AV,BQ,BMT,,7 AV-BQ-BMT
N301,7 AV,BDE,IND,,7 AV-BDE-IND
N539A,7 AV,FG,IND,,7 AV-FG-IND
E009,71 ST,D,BMT,,71 ST-D-BMT
N046,72 ST,BC,IND,,72 ST-BC-IND
N700,72 ST,123,IRT,,72 ST-123-IRT
R161B,72 ST-2 AVE,Q,IND,,72 ST-2 AVE-Q-IND
R525,74 ST-BROADWAY,7EFMR,IRT,,74 ST-BROADWAY-7EFMR-IRT
N334B,75 AV,EF,IND,,75 AV-EF-IND
J028,75 ST-ELDERTS,JZ,BMT,,75 ST-ELDERTS-JZ-BMT
C024,77 ST,R,BMT,,77 ST-R-BMT
R247,77 ST,6,IRT,,77 ST-6-IRT
E011,79 ST,D,BMT,,79 ST-D-BMT
R162,79 ST,1,IRT,,79 ST-1-IRT
D002,8 AV,N,BMT,,8 AV-N-BMT
N078,8 AV,ACEL,BMT,,8 AV-ACEL-BMT
A038,8 ST-NYU,NRW,BMT,,8 ST-NYU-NRW-BMT
N131,80 ST,A,IND,,80 ST-A-IND
N044,81 ST-MUSEUM,BC,IND,,81 ST-MUSEUM-BC-IND
R526,82 ST-JACKSON H,7,IRT,,82 ST-JACKSON H-7-IRT
J030,85 ST-FOREST PK,J,BMT,,85 ST-FOREST PK-J-BMT
C025,86 ST,R,BMT,,86 ST-R-BMT
D016,86 ST,N,BMT,,86 ST-N-BMT
N043,86 ST,BC,IND,,86 ST-BC-IND
R164,86 ST,1,IRT,,86 ST-1-IRT
R249,86 ST,456,IRT,,86 ST-456-IRT
N701,86 ST-2 AVE,Q,IND,,86 ST-2 AVE-Q-IND
N133,88 ST,A,IND,,88 ST-A-IND
E001,9 AV,D,BMT,,9 AV-D-BMT
R527,90 ST-ELMHURST,7,IRT,,90 ST-ELMHURST-7-IRT
N040,96 ST,BC,IND,,96 ST-BC-IND
R168,96 ST,123,IRT,,96 ST-123-IRT
R251,96 ST,6,IRT,,96 ST-6-IRT
N702,96 ST-2 AVE,Q,IND,,96 ST-2 AVE-Q-IND
J020,ALABAMA AV,J,BMT,,ALABAMA AV-J-BMT
R329,ALLERTON AV,25,IRT,,ALLERTON AV-25-IRT
N181,AQUEDUCT N.COND,A,IND,,AQUEDUCT N.COND-A-IND
N181A,AQUEDUCT RACETR,A,IND,,AQUEDUCT RACETR-A-IND
R219,ASTOR PL,6,IRT,,ASTOR PL-6-IRT
R514,ASTORIA BLVD,NQW,BMT,,ASTORIA BLVD-NQW-BMT
R515,ASTORIA DITMARS,NQW,BMT,,ASTORIA DITMARS-NQW-BMT
R610,ATL AV-BARCLAY,BDNQR2345,BMT,,ATL AV-BARCLAY-BDNQR2345-BMT
R610,ATL AV-BARCLAY,2345BDNQR,IRT,,ATL AV-BARCLAY-2345BDNQR-IRT
R610,ATL AV-BARCLAY,BDNQR2345,IRT,,ATL AV-BARCLAY-BDNQR2345-IRT
H035,ATLANTIC AV,L,BMT,,ATLANTIC AV-L-BMT
B020,AVENUE H,BQ,BMT,,AVENUE H-BQ-BMT
N551,AVENUE I,F,IND,,AVENUE I-F-IND
B021,AVENUE J,BQ,BMT,,AVENUE J-BQ-BMT
B022,AVENUE M,BQ,BMT,,AVENUE M-BQ-BMT
N555,AVENUE N,F,IND,,AVENUE N-F-IND
N556,AVENUE P,F,IND,,AVENUE P-F-IND
B025,AVENUE U,BQ,BMT,,AVENUE U-BQ-BMT
D015,AVENUE U,N,BMT,,AVENUE U-N-BMT
N559,AVENUE U,F,IND,,AVENUE U-F-IND
N561,AVENUE X,F,IND,,AVENUE X-F-IND
E016,BAY 50 ST,D,BMT,,BAY 50 ST-D-BMT
D010,BAY PKWY,N,BMT,,BAY PKWY-N-BMT
E014,BAY PKWY,D,BMT,,BAY PKWY-D-BMT
N553,BAY PKWY,F,IND,,BAY PKWY-F-IND
C023,BAY RIDGE AV,R,BMT,,BAY RIDGE AV-R-BMT
C027,BAY RIDGE-95 ST,R,BMT,,BAY RIDGE-95 ST-R-BMT
R729,BAYCHESTER AV,5,IRT,,BAYCHESTER AV-5-IRT
N186,BEACH 105 ST,AS,IND,,BEACH 105 ST-AS-IND
N195,BEACH 25 ST,A,IND,,BEACH 25 ST-A-IND
N194,BEACH 36 ST,A,IND,,BEACH 36 ST-A-IND
N193,BEACH 44 ST,A,IND,,BEACH 44 ST-A-IND
N192,BEACH 60 ST,A,IND,,BEACH 60 ST-A-IND
N191,BEACH 67 ST,A,IND,,BEACH 67 ST-A-IND
N184,BEACH 90 ST,AS,IND,,BEACH 90 ST-AS-IND
N185,BEACH 98 ST,AS,IND,,BEACH 98 ST-AS-IND
H009,BEDFORD AV,L,BMT,,BEDFORD AV-L-BMT
N222,BEDFORD PK BLVD,BD,IND,,BEDFORD PK BLVD-BD-IND
R291,BEDFORD PK BLVD,4,IRT,,BEDFORD PK BLVD-4-IRT
N417,BEDFORD-NOSTRAN,G,IND,,BEDFORD-NOSTRAN-G-IND
N532,BERGEN ST,FG,IND,,BERGEN ST-FG-IND
R617,BERGEN ST,23,IRT,,BERGEN ST-23-IRT
B017,BEVERLEY ROAD,BQ,BMT,,BEVERLEY ROAD-BQ-BMT
R641,BEVERLY RD,25,IRT,,BEVERLY RD-25-IRT
R217,BLEECKER ST,6DF,IRT,,BLEECKER ST-6DF-IRT
R602,BOROUGH HALL,R2345,BMT,,BOROUGH HALL-R2345-BMT
R602,BOROUGH HALL,2345R,IRT,,BOROUGH HALL-2345R-IRT
R622,BOTANIC GARDEN,S2345,BMT,,BOTANIC GARDEN-S2345-BMT
A064,BOWERY,JZ,BMT,,BOWERY-JZ-BMT
R201,BOWLING GREEN,45,IRT,,BOWLING GREEN-45-IRT
N337,BRIARWOOD,EF,IND,,BRIARWOOD-EF-IND
B029,BRIGHTON BEACH,BQ,BMT,,BRIGHTON BEACH-BQ-BMT
N183,BROAD CHANNEL,AS,IND,,BROAD CHANNEL-AS-IND
A083,BROAD ST,JZ,BMT,,BROAD ST-JZ-BMT
N412,BROADWAY,G,IND,,BROADWAY-G-IND
R512,BROADWAY,NQW,BMT,,BROADWAY-NQW-BMT
N124,BROADWAY JCT,ACJLZ,IND,,BROADWAY JCT-ACJLZ-IND
R326,BRONX PARK EAST,25,IRT,,BRONX PARK EAST-25-IRT
R402,BROOK AV,6,IRT,,BROOK AV-6-IRT
A069,BROOKLYN BRIDGE,456JZ,IRT,,BROOKLYN BRIDGE-456JZ-IRT
R422,BUHRE AV,6,IRT,,BUHRE AV-6-IRT
R330,BURKE AV,25,IRT,,BURKE AV-25-IRT
R287,BURNSIDE AV,4,IRT,,BURNSIDE AV-4-IRT
H033,BUSHWICK AV,L,BMT,,BUSHWICK AV-L-BMT
