station_complex_id,station_complex,borough,Year,ridership,net_exits
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,2018,12227315,12204504
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,2019,12162330,12337066
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,2020,4244023,4900707
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,2021,4295234,6387321
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,2022,4803187,8840716
A006,"5 Av-59 St (N,R,W)",M,2018,5114242,3664053
A006,"5 Av-59 St (N,R,W)",M,2019,4958990,3659024
A006,"5 Av-59 St (N,R,W)",M,2020,1608767,1333963
A006,"5 Av-59 St (N,R,W)",M,2021,1744457,1834901
A006,"5 Av-59 St (N,R,W)",M,2022,1931465,2422590
A010,"57 St-7 Av (N,Q,R,W)",M,2018,10376339,5353627
A010,"57 St-7 Av (N,Q,R,W)",M,2019,10426778,7567219
A010,"57 St-7 Av (N,Q,R,W)",M,2020,3303007,2379068
A010,"57 St-7 Av (N,Q,R,W)",M,2021,3080474,3288484
A010,"57 St-7 Av (N,Q,R,W)",M,2022,3751270,5063825
A013,"49 St (N,R,W)",M,2018,8360185,6885470
A013,"49 St (N,R,W)",M,2019,7362034,5911271
A013,"49 St (N,R,W)",M,2020,1925505,1876294
A013,"49 St (N,R,W)",M,2021,1976732,2724028
A013,"49 St (N,R,W)",M,2022,2817696,4421712
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,2018,33780437,31292270
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,2019,35337831,33632391
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,2020,11596431,12612923
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,2021,11461192,15802413
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,2022,12572764,21571508
A027,"28 St (R,W)",M,2018,4419016,4756222
A027,"28 St (R,W)",M,2019,3993125,4505443
A027,"28 St (R,W)",M,2020,1159673,1502500
A027,"28 St (R,W)",M,2021,1075917,1927748
A027,"28 St (R,W)",M,2022,1205841,2661821
A030,"23 St (R,W)",M,2018,8049271,4411310
A030,"23 St (R,W)",M,2019,7014533,3852598
A030,"23 St (R,W)",M,2020,1959365,1320046
A030,"23 St (R,W)",M,2021,1835416,1570708
A030,"23 St (R,W)",M,2022,2113209,2402045
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,2018,31589798,27538332
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,2019,30480115,28494065
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,2020,10204859,10969076
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,2021,9944586,14314069
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,2022,10420777,19285340
A038,"8 St-New York University (R,W)",M,2018,5599421,4045313
A038,"8 St-New York University (R,W)",M,2019,5384711,3762559
A038,"8 St-New York University (R,W)",M,2020,1486944,1229716
A038,"8 St-New York University (R,W)",M,2021,1410263,1813474
A038,"8 St-New York University (R,W)",M,2022,1590472,2679419
A041,"Prince St (R,W)",M,2018,5110760,4818006
A041,"Prince St (R,W)",M,2019,4317534,4212894
A041,"Prince St (R,W)",M,2020,1156563,1363304
A041,"Prince St (R,W)",M,2021,1267115,2059521
A041,"Prince St (R,W)",M,2022,1393291,2829180
A043,"Canal St (J,N,Q,R,W,Z,6)",M,2018,14493119,10659552
A043,"Canal St (J,N,Q,R,W,Z,6)",M,2019,14217880,10708613
A043,"Canal St (J,N,Q,R,W,Z,6)",M,2020,4247111,3716920
A043,"Canal St (J,N,Q,R,W,Z,6)",M,2021,4584654,5296243
A043,"Canal St (J,N,Q,R,W,Z,6)",M,2022,5100598,7050812
A047,"City Hall (R,W)",M,2018,1933752,1089636
A047,"City Hall (R,W)",M,2019,1718205,965155
A047,"City Hall (R,W)",M,2020,534849,318852
A047,"City Hall (R,W)",M,2021,516119,379862
A047,"City Hall (R,W)",M,2022,646701,533637
A054,"Rector St (R,W)",M,2018,2168786,678982
A054,"Rector St (R,W)",M,2019,2021309,685144
A054,"Rector St (R,W)",M,2020,583329,260566
A054,"Rector St (R,W)",M,2021,511518,335648
A054,"Rector St (R,W)",M,2022,574446,427301
A064,"Bowery (J,Z)",M,2018,1280947,1077374
A064,"Bowery (J,Z)",M,2019,1329179,1234399
A064,"Bowery (J,Z)",M,2020,446343,499399
A064,"Bowery (J,Z)",M,2021,413155,813400
A064,"Bowery (J,Z)",M,2022,425824,936334
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,2018,8802044,7215794
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,2019,8823988,7535401
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,2020,2618302,2836990
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,2021,2609042,3619999
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,2022,3512970,5749972
A083,"Broad St (J,Z)",M,2018,2018977,757394
A083,"Broad St (J,Z)",M,2019,2215910,851719
A083,"Broad St (J,Z)",M,2020,711930,324747
A083,"Broad St (J,Z)",M,2021,589524,386735
A083,"Broad St (J,Z)",M,2022,662869,481915
B004,"7 Av (B,Q)",BK,2018,3086038,2879460
B004,"7 Av (B,Q)",BK,2019,3059686,2845784
B004,"7 Av (B,Q)",BK,2020,1005630,1033845
B004,"7 Av (B,Q)",BK,2021,1055647,1446787
B004,"7 Av (B,Q)",BK,2022,1051739,1920165
B009,Park Pl (S),BK,2018,539027,616383
B009,Park Pl (S),BK,2019,520185,577738
B009,Park Pl (S),BK,2020,212655,270079
B009,Park Pl (S),BK,2021,221811,326429
B009,Park Pl (S),BK,2022,227508,391086
B013,"Prospect Park (B,Q,S)",BK,2018,2785515,2537587
B013,"Prospect Park (B,Q,S)",BK,2019,2802113,2557701
B013,"Prospect Park (B,Q,S)",BK,2020,1050285,1144216
B013,"Prospect Park (B,Q,S)",BK,2021,1137467,1479672
B013,"Prospect Park (B,Q,S)",BK,2022,1157441,1969624
B014,Parkside Av (Q),BK,2018,1984538,1377894
B014,Parkside Av (Q),BK,2019,1956411,1420686
B014,Parkside Av (Q),BK,2020,864388,743154
B014,Parkside Av (Q),BK,2021,907241,952126
B014,Parkside Av (Q),BK,2022,823382,1050813
B016,"Church Av (B,Q)",BK,2018,5182828,5300088
B016,"Church Av (B,Q)",BK,2019,5066458,5185188
B016,"Church Av (B,Q)",BK,2020,2199599,2532110
B016,"Church Av (B,Q)",BK,2021,2325559,3080665
