station_complex,borough,latitude,longitude
"Astoria-Ditmars Blvd (N,W)",Queens,40.7750358581543,-73.91203308105469
"49 St (N,R,W)",Manhattan,40.7598991394043,-73.98413848876953
"Hewes St (M,J)",Brooklyn,40.706871032714844,-73.95343017578125
"Marcy Av (M,J,Z)",Brooklyn,40.70835876464844,-73.95775604248047
"Bowery (J,Z)",Manhattan,40.720279693603516,-73.99391174316406
"Broad St (J,Z)",Manhattan,40.70647430419922,-74.01105499267578
Middle Village-Metropolitan Av (M),Queens,40.711395263671875,-73.88960266113281
Fresh Pond Rd (M),Queens,40.70618438720703,-73.8958740234375
Forest Av (M),Queens,40.70442199707031,-73.903076171875
Seneca Av (M),Queens,40.702762603759766,-73.9077377319336
Knickerbocker Av (M),Brooklyn,40.698665618896484,-73.91970825195312
Central Av (M),Brooklyn,40.69785690307617,-73.92739868164062
3 Av (L),Manhattan,40.73284912109375,-73.98612213134766
1 Av (L),Manhattan,40.730953216552734,-73.98162841796875
Bedford Av (L),Brooklyn,40.71730422973633,-73.95687103271484
Graham Av (L),Brooklyn,40.71456527709961,-73.94405364990234
Grand St (L),Brooklyn,40.7119255065918,-73.94066619873047
Montrose Av (L),Brooklyn,40.707740783691406,-73.93984985351562
Morgan Av (L),Brooklyn,40.706153869628906,-73.93314361572266
Jefferson St (L),Brooklyn,40.706607818603516,-73.92291259765625
DeKalb Av (L),Brooklyn,40.70381164550781,-73.91842651367188
Halsey St (L),Queens,40.69560241699219,-73.90408325195312
"28 St (R,W)",Manhattan,40.7454948425293,-73.98869323730469
Wilson Av (L),Brooklyn,40.68876266479492,-73.90404510498047
Bushwick Av-Aberdeen St (L),Brooklyn,40.682830810546875,-73.9052505493164
Atlantic Av (L),Brooklyn,40.67534637451172,-73.9030990600586
Sutter Av (L),Brooklyn,40.669368743896484,-73.9019775390625
Livonia Av (L),Brooklyn,40.664039611816406,-73.90057373046875
New Lots Av (L),Brooklyn,40.65873336791992,-73.89923095703125
East 105 St (L),Brooklyn,40.65057373046875,-73.89948272705078
Canarsie-Rockaway Pkwy (L),Brooklyn,40.64665222167969,-73.90184783935547
"23 St (R,W)",Manhattan,40.741302490234375,-73.98934173583984
Park Pl (S),Brooklyn,40.67477035522461,-73.95762634277344
Inwood-207 St (A),Manhattan,40.868072509765625,-73.9198989868164
Dyckman St (A),Manhattan,40.8654899597168,-73.9272689819336
190 St (A),Manhattan,40.8590202331543,-73.9341812133789
181 St (A),Manhattan,40.8516960144043,-73.9379653930664
175 St (A),Manhattan,40.847389221191406,-73.93970489501953
163 St-Amsterdam Av (C),Manhattan,40.83601379394531,-73.93989562988281
155 St (C),Manhattan,40.83051681518555,-73.94151306152344
"145 St (A,C,B,D)",Manhattan,40.82478332519531,-73.9442138671875
"135 St (C,B)",Manhattan,40.817893981933594,-73.94764709472656
"125 St (A,C,B,D)",Manhattan,40.81110763549805,-73.95234680175781
"116 St (C,B)",Manhattan,40.805084228515625,-73.95487976074219
"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800601959228516,-73.95816040039062
"103 St (C,B)",Manhattan,40.79609298706055,-73.96145629882812
"96 St (C,B)",Manhattan,40.79164123535156,-73.9646987915039
"86 St (C,B)",Manhattan,40.78586959838867,-73.96891784667969
"81 St-Museum of Natural History (C,B)",Manhattan,40.78143310546875,-73.9721450805664
"8 St-NYU (R,W)",Manhattan,40.73032760620117,-73.99263000488281
"72 St (C,B)",Manhattan,40.77559280395508,-73.97640991210938
"50 St (C,E)",Manhattan,40.762454986572266,-73.9859848022461
"34 St-Penn Station (A,C,E)",Manhattan,40.752288818359375,-73.99339294433594
"23 St (C,E)",Manhattan,40.745906829833984,-73.99803924560547
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732337951660156,-74.00049591064453
"Spring St (C,E)",Manhattan,40.726226806640625,-74.00373840332031
"Canal St (A,C,E)",Manhattan,40.7208251953125,-74.0052261352539
"Prince St (R,W)",Manhattan,40.72433090209961,-73.9977035522461
"High St (A,C)",Brooklyn,40.699337005615234,-73.99053192138672
"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.68848419189453,-73.98500061035156
Lafayette Av (C),Brooklyn,40.68611145019531,-73.97394561767578
Clinton-Washington Avs (C),Brooklyn,40.68326187133789,-73.96583557128906
"Nostrand Av (A,C)",Brooklyn,40.68043899536133,-73.95042419433594
Kingston-Throop Avs (C),Brooklyn,40.6799201965332,-73.94085693359375
"Utica Av (A,C)",Brooklyn,40.67936325073242,-73.93073272705078
Ralph Av (C),Brooklyn,40.6788215637207,-73.92078399658203
Rockaway Av (C),Brooklyn,40.678340911865234,-73.91194915771484
Liberty Av (C),Brooklyn,40.67454147338867,-73.89654541015625
Van Siclen Av (C),Brooklyn,40.67271041870117,-73.8903579711914
Shepherd Av (C),Brooklyn,40.674129486083984,-73.88075256347656
"Euclid Av (A,C)",Brooklyn,40.675376892089844,-73.87210845947266
Grant Av (A),Brooklyn,40.67704391479492,-73.86505126953125
80 St (A),Queens,40.67937088012695,-73.85899353027344
88 St (A),Queens,40.67984390258789,-73.85147094726562
Rockaway Blvd (A),Queens,40.68042755126953,-73.84385681152344
104 St (A),Queens,40.68170928955078,-73.83768463134766
111 St (A),Queens,40.684329986572266,-73.83216094970703
Ozone Park-Lefferts Blvd (A),Queens,40.685951232910156,-73.82579803466797
Aqueduct Racetrack (A),Queens,40.668235778808594,-73.83406066894531
Aqueduct-N Conduit Av (A),Queens,40.668235778808594,-73.83406066894531
Howard Beach-JFK Airport (A),Queens,40.66047668457031,-73.8302993774414
"Broad Channel (A,S)",Queens,40.60838317871094,-73.81592559814453
"Astoria Blvd (N,W)",Queens,40.770259857177734,-73.9178466796875
"City Hall (R,W)",Manhattan,40.71328353881836,-74.0069808959961
"Beach 90 St (A,S)",Queens,40.588035583496094,-73.81364440917969
"Beach 98 St (A,S)",Queens,40.58530807495117,-73.820556640625
"Beach 105 St (A,S)",Queens,40.58320999145508,-73.82756042480469
"Rockaway Park-Beach 116 St (A,S)",Queens,40.580902099609375,-73.8355941772461
Beach 67 St (A),Queens,40.59092712402344,-73.79692077636719
Beach 60 St (A),Queens,40.59237289428711,-73.78852081298828
Beach 44 St (A),Queens,40.59294128417969,-73.77601623535156
Beach 36 St (A),Queens,40.59539794921875,-73.76817321777344
Beach 25 St (A),Queens,40.600067138671875,-73.7613525390625
Far Rockaway-Mott Av (A),Queens,40.60399627685547,-73.75540161132812
Norwood-205 St (D),Bronx,40.87480926513672,-73.87885284423828
"Bedford Park Blvd (B,D)",Bronx,40.87324523925781,-73.88713836669922
"Kingsbridge Rd (B,D)",Bronx,40.86697769165039,-73.89350891113281
"Fordham Rd (B,D)",Bronx,40.861297607421875,-73.89775085449219
"182-183 Sts (B,D)",Bronx,40.85609436035156,-73.90074157714844
"Tremont Av (B,D)",Bronx,40.85041046142578,-73.90522766113281
