station_complex_id,station_complex,borough,Georeference,,transit_bureau
1,"Astoria-Ditmars Blvd (N,W)",Queens,POINT (-73.91203308105469 40.7750358581543),,20
10,"49 St (N,R,W)",Manhattan,POINT (-73.98413848876953 40.7598991394043),,1
100,"Hewes St (M,J)",Brooklyn,POINT (-73.95343017578125 40.706871032714844),,33
101,"Marcy Av (M,J,Z)",Brooklyn,POINT (-73.95775604248047 40.70835876464844),,2
103,"Bowery (J,Z)",Manhattan,POINT (-73.99391174316406 40.720279693603516),,2
107,"Broad St (J,Z)",Manhattan,POINT (-74.01105499267578 40.70647430419922),,2
108,Middle Village-Metropolitan Av (M),Queens,POINT (-73.88960266113281 40.711395263671875),,33
109,Fresh Pond Rd (M),Queens,POINT (-73.8958740234375 40.70618438720703),,33
110,Forest Av (M),Queens,POINT (-73.903076171875 40.70442199707031),,33
111,Seneca Av (M),Queens,POINT (-73.9077377319336 40.702762603759766),,33
113,Knickerbocker Av (M),Brooklyn,POINT (-73.91970825195312 40.698665618896484),,33
114,Central Av (M),Brooklyn,POINT (-73.92739868164062 40.69785690307617),,33
118,3 Av (L),Manhattan,POINT (-73.98612213134766 40.73284912109375),,4
119,1 Av (L),Manhattan,POINT (-73.98162841796875 40.730953216552734),,4
120,Bedford Av (L),Brooklyn,POINT (-73.95687103271484 40.71730422973633),,33
122,Graham Av (L),Brooklyn,POINT (-73.94405364990234 40.71456527709961),,33
123,Grand St (L),Brooklyn,POINT (-73.94066619873047 40.7119255065918),,33
124,Montrose Av (L),Brooklyn,POINT (-73.93984985351562 40.707740783691406),,33
125,Morgan Av (L),Brooklyn,POINT (-73.93314361572266 40.706153869628906),,33
126,Jefferson St (L),Brooklyn,POINT (-73.92291259765625 40.706607818603516),,33
127,DeKalb Av (L),Brooklyn,POINT (-73.91842651367188 40.70381164550781),,33
129,Halsey St (L),Queens,POINT (-73.90408325195312 40.69560241699219),,33
13,"28 St (R,W)",Manhattan,POINT (-73.98869323730469 40.7454948425293),,4
130,Wilson Av (L),Brooklyn,POINT (-73.90404510498047 40.68876266479492),,33
131,Bushwick Av-Aberdeen St (L),Brooklyn,POINT (-73.9052505493164 40.682830810546875),,33
133,Atlantic Av (L),Brooklyn,POINT (-73.9030990600586 40.67534637451172),,33
134,Sutter Av (L),Brooklyn,POINT (-73.9019775390625 40.669368743896484),,33
135,Livonia Av (L),Brooklyn,POINT (-73.90057373046875 40.664039611816406),,33
136,New Lots Av (L),Brooklyn,POINT (-73.89923095703125 40.65873336791992),,33
137,East 105 St (L),Brooklyn,POINT (-73.89948272705078 40.65057373046875),,33
138,Canarsie-Rockaway Pkwy (L),Brooklyn,POINT (-73.90184783935547 40.64665222167969),,33
14,"23 St (R,W)",Manhattan,POINT (-73.98934173583984 40.741302490234375),,4
141,Park Pl (S),Brooklyn,POINT (-73.95762634277344 40.67477035522461),,32
143,Inwood-207 St (A),Manhattan,POINT (-73.9198989868164 40.868072509765625),,3
144,Dyckman St (A),Manhattan,POINT (-73.9272689819336 40.8654899597168),,3
145,190 St (A),Manhattan,POINT (-73.9341812133789 40.8590202331543),,3
146,181 St (A),Manhattan,POINT (-73.9379653930664 40.8516960144043),,3
147,175 St (A),Manhattan,POINT (-73.93970489501953 40.847389221191406),,3
149,163 St-Amsterdam Av (C),Manhattan,POINT (-73.93989562988281 40.83601379394531),,3
150,155 St (C),Manhattan,POINT (-73.94151306152344 40.83051681518555),,3
151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),,3
152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),,3
153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),,3
154,"116 St (C,B)",Manhattan,POINT (-73.95487976074219 40.805084228515625),,3
155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,POINT (-73.95816040039062 40.800601959228516),,3
156,"103 St (C,B)",Manhattan,POINT (-73.96145629882812 40.79609298706055),,3
157,"96 St (C,B)",Manhattan,POINT (-73.9646987915039 40.79164123535156),,3
158,"86 St (C,B)",Manhattan,POINT (-73.96891784667969 40.78586959838867),,1
159,"81 St-Museum of Natural History (C,B)",Manhattan,POINT (-73.9721450805664 40.78143310546875),,1
16,"8 St-NYU (R,W)",Manhattan,POINT (-73.99263000488281 40.73032760620117),,4
160,"72 St (C,B)",Manhattan,POINT (-73.97640991210938 40.77559280395508),,1
162,"50 St (C,E)",Manhattan,POINT (-73.9859848022461 40.762454986572266),,1
164,"34 St-Penn Station (A,C,E)",Manhattan,POINT (-73.99339294433594 40.752288818359375),,2
165,"23 St (C,E)",Manhattan,POINT (-73.99803924560547 40.745906829833984),,2
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,POINT (-74.00049591064453 40.732337951660156),,2
168,"Spring St (C,E)",Manhattan,POINT (-74.00373840332031 40.726226806640625),,2
169,"Canal St (A,C,E)",Manhattan,POINT (-74.0052261352539 40.7208251953125),,2
17,"Prince St (R,W)",Manhattan,POINT (-73.9977035522461 40.72433090209961),,4
173,"High St (A,C)",Brooklyn,POINT (-73.99053192138672 40.699337005615234),,30
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,POINT (-73.98500061035156 40.68848419189453),,30
176,Lafayette Av (C),Brooklyn,POINT (-73.97394561767578 40.68611145019531),,30
177,Clinton-Washington Avs (C),Brooklyn,POINT (-73.96583557128906 40.68326187133789),,30
179,"Nostrand Av (A,C)",Brooklyn,POINT (-73.95042419433594 40.68043899536133),,30
180,Kingston-Throop Avs (C),Brooklyn,POINT (-73.94085693359375 40.6799201965332),,33
181,"Utica Av (A,C)",Brooklyn,POINT (-73.93073272705078 40.67936325073242),,33
182,Ralph Av (C),Brooklyn,POINT (-73.92078399658203 40.6788215637207),,33
183,Rockaway Av (C),Brooklyn,POINT (-73.91194915771484 40.678340911865234),,33
185,Liberty Av (C),Brooklyn,POINT (-73.89654541015625 40.67454147338867),,33
186,Van Siclen Av (C),Brooklyn,POINT (-73.8903579711914 40.67271041870117),,33
187,Shepherd Av (C),Brooklyn,POINT (-73.88075256347656 40.674129486083984),,33
188,"Euclid Av (A,C)",Brooklyn,POINT (-73.87210845947266 40.675376892089844),,33
189,Grant Av (A),Brooklyn,POINT (-73.86505126953125 40.67704391479492),,33
190,80 St (A),Queens,POINT (-73.85899353027344 40.67937088012695),,23
191,88 St (A),Queens,POINT (-73.85147094726562 40.67984390258789),,23
