transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-01-01,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),6073,60,Sunday
2023-01-01,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1179,11,Sunday
2023-01-01,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),7590,302,Sunday
2023-01-01,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),3631,25,Sunday
2023-01-02,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7692,107,Monday
2023-01-02,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1485,31,Monday
2023-01-02,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),9619,450,Monday
2023-01-02,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4741,28,Monday
2023-01-03,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),11817,210,Tuesday
2023-01-03,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),2964,56,Tuesday
2023-01-03,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),14723,744,Tuesday
2023-01-03,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7025,39,Tuesday
2023-01-04,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13069,239,Wednesday
2023-01-04,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3270,67,Wednesday
2023-01-04,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16606,791,Wednesday
2023-01-04,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7543,32,Wednesday
2023-01-05,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13256,219,Thursday
2023-01-05,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3227,60,Thursday
2023-01-05,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16280,802,Thursday
2023-01-05,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7639,43,Thursday
2023-01-06,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13357,232,Friday
2023-01-06,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3215,74,Friday
2023-01-06,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15861,702,Friday
2023-01-06,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7735,49,Friday
2023-01-07,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9030,120,Saturday
2023-01-07,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1560,27,Saturday
2023-01-07,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),10493,432,Saturday
2023-01-07,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5355,32,Saturday
2023-01-08,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7183,93,Sunday
2023-01-08,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1259,16,Sunday
2023-01-08,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),8473,366,Sunday
2023-01-08,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4323,26,Sunday
2023-01-09,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),12674,212,Monday
2023-01-09,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3160,58,Monday
2023-01-09,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15646,760,Monday
2023-01-09,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7469,45,Monday
2023-01-10,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13323,262,Tuesday
2023-01-10,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3304,62,Tuesday
2023-01-10,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16293,774,Tuesday
