transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers
2024-01-01,1,"Astoria-Ditmars Blvd (N,W)",Queens,POINT (-73.91203 40.775036),3713,92
2024-01-01,10,"49 St (N,R,W)",Manhattan,POINT (-73.98414 40.7599),13014,45
2024-01-01,100,"Hewes St (M,J)",Brooklyn,POINT (-73.95343 40.70687),880,1
2024-01-01,101,"Marcy Av (M,J,Z)",Brooklyn,POINT (-73.957756 40.70836),4184,63
2024-01-01,103,"Bowery (J,Z)",Manhattan,POINT (-73.99391 40.72028),2119,4
2024-01-01,107,"Broad St (J,Z)",Manhattan,POINT (-74.011055 40.706474),2029,25
2024-01-01,108,Middle Village-Metropolitan Av (M),Queens,POINT (-73.8896 40.711395),648,97
2024-01-01,109,Fresh Pond Rd (M),Queens,POINT (-73.895874 40.706184),1178,25
2024-01-01,110,Forest Av (M),Queens,POINT (-73.903076 40.704422),879,15
2024-01-01,111,Seneca Av (M),Queens,POINT (-73.90774 40.702763),692,6
2024-01-01,113,Knickerbocker Av (M),Brooklyn,POINT (-73.91971 40.698666),794,6
2024-01-01,114,Central Av (M),Brooklyn,POINT (-73.9274 40.697857),893,6
2024-01-01,118,3 Av (L),Manhattan,POINT (-73.98612 40.73285),3388,67
2024-01-01,119,1 Av (L),Manhattan,POINT (-73.98163 40.730953),8938,144
2024-01-01,120,Bedford Av (L),Brooklyn,POINT (-73.95687 40.717304),16420,61
2024-01-01,122,Graham Av (L),Brooklyn,POINT (-73.94405 40.714565),2970,45
2024-01-01,123,Grand St (L),Brooklyn,POINT (-73.94067 40.711926),2097,122
2024-01-01,124,Montrose Av (L),Brooklyn,POINT (-73.93985 40.70774),3230,2
2024-01-01,125,Morgan Av (L),Brooklyn,POINT (-73.93314 40.706154),2909,4
2024-01-01,126,Jefferson St (L),Brooklyn,POINT (-73.92291 40.706608),4803,17
2024-01-01,127,DeKalb Av (L),Brooklyn,POINT (-73.91843 40.70381),4252,64
2024-01-01,129,Halsey St (L),Queens,POINT (-73.90408 40.695602),2322,34
2024-01-01,13,"28 St (R,W)",Manhattan,POINT (-73.98869 40.745495),4916,17
2024-01-01,130,Wilson Av (L),Brooklyn,POINT (-73.904045 40.688763),1386,2
2024-01-01,131,Bushwick Av-Aberdeen St (L),Brooklyn,POINT (-73.90525 40.68283),795,1
2024-01-01,133,Atlantic Av (L),Brooklyn,POINT (-73.9031 40.675346),388,7
2024-01-01,134,Sutter Av (L),Brooklyn,POINT (-73.90198 40.66937),592,8
2024-01-01,135,Livonia Av (L),Brooklyn,POINT (-73.90057 40.66404),850,160
2024-01-01,136,New Lots Av (L),Brooklyn,POINT (-73.89923 40.658733),830,77
2024-01-01,137,East 105 St (L),Brooklyn,POINT (-73.89948 40.650574),633,11
2024-01-01,138,Canarsie-Rockaway Pkwy (L),Brooklyn,POINT (-73.90185 40.646652),767,45
2024-01-01,14,"23 St (R,W)",Manhattan,POINT (-73.98934 40.741302),7180,97
2024-01-01,141,Park Pl (S),Brooklyn,POINT (-73.95763 40.67477),489,1
2024-01-01,143,Inwood-207 St (A),Manhattan,POINT (-73.9199 40.868073),2063,94
2024-01-01,144,Dyckman St (A),Manhattan,POINT (-73.92727 40.86549),1503,8
2024-01-01,145,190 St (A),Manhattan,POINT (-73.93418 40.85902),992,2
2024-01-01,146,181 St (A),Manhattan,POINT (-73.937965 40.851696),2500,21
2024-01-01,147,175 St (A),Manhattan,POINT (-73.939705 40.84739),2821,40
2024-01-01,149,163 St-Amsterdam Av (C),Manhattan,POINT (-73.939896 40.836014),1077,4
2024-01-01,150,155 St (C),Manhattan,POINT (-73.94151 40.830517),718,10
2024-01-01,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.944214 40.824783),5958,57
2024-01-01,152,"135 St (C,B)",Manhattan,POINT (-73.94765 40.817894),1067,5
2024-01-01,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95235 40.811108),7482,294
2024-01-01,154,"116 St (C,B)",Manhattan,POINT (-73.95488 40.805084),1836,12
2024-01-01,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,POINT (-73.95816 40.800602),2074,26
2024-01-01,156,"103 St (C,B)",Manhattan,POINT (-73.96146 40.796093),1363,4
2024-01-01,157,"96 St (C,B)",Manhattan,POINT (-73.9647 40.79164),2171,110
2024-01-01,158,"86 St (C,B)",Manhattan,POINT (-73.96892 40.78587),2913,90
2024-01-01,159,"81 St-Museum of Natural History (C,B)",Manhattan,POINT (-73.972145 40.781433),7987,92
2024-01-01,16,"8 St-NYU (R,W)",Manhattan,POINT (-73.99263 40.730328),6169,32
2024-01-01,160,"72 St (C,B)",Manhattan,POINT (-73.97641 40.775593),7096,44
2024-01-01,162,"50 St (C,E)",Manhattan,POINT (-73.985985 40.762455),13758,25
2024-01-01,164,"34 St-Penn Station (A,C,E)",Manhattan,POINT (-73.99339 40.75229),31201,98
2024-01-01,165,"23 St (C,E)",Manhattan,POINT (-73.99804 40.745907),5998,63
2024-01-01,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,POINT (-74.000496 40.732338),16180,75
2024-01-01,168,"Spring St (C,E)",Manhattan,POINT (-74.00374 40.726227),3912,2
2024-01-01,169,"Canal St (A,C,E)",Manhattan,POINT (-74.005226 40.720825),5514,33
2024-01-01,17,"Prince St (R,W)",Manhattan,POINT (-73.9977 40.72433),6721,15
2024-01-01,173,"High St (A,C)",Brooklyn,POINT (-73.99053 40.699337),6666,21
