transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,ridership
2023Q1,1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.912034,820698
2023Q1,10,"49 St (N,R,W)",Manhattan,40.759901,-73.984139,1233349
2023Q1,100,"Hewes St (M,J)",Brooklyn,40.70687,-73.953431,159918
2023Q1,101,"Marcy Av (M,J,Z)",Brooklyn,40.708359,-73.957757,740053
2023Q1,103,"Bowery (J,Z)",Manhattan,40.72028,-73.993915,200864
2023Q1,107,"Broad St (J,Z)",Manhattan,40.706476,-74.011056,292249
2023Q1,108,Middle Village-Metropolitan Av (M),Queens,40.711396,-73.889601,208718
2023Q1,109,Fresh Pond Rd (M),Queens,40.706186,-73.895877,318252
2023Q1,110,Forest Av (M),Queens,40.704423,-73.903077,240014
2023Q1,111,Seneca Av (M),Queens,40.702762,-73.90774,168759
2023Q1,113,Knickerbocker Av (M),Brooklyn,40.698664,-73.919711,236153
2023Q1,114,Central Av (M),Brooklyn,40.697857,-73.927397,220319
2023Q1,118,3 Av (L),Manhattan,40.732849,-73.986122,362932
2023Q1,119,1 Av (L),Manhattan,40.730953,-73.981628,1372547
2023Q1,120,Bedford Av (L),Brooklyn,40.717304,-73.956872,1830806
2023Q1,122,Graham Av (L),Brooklyn,40.714565,-73.944053,500722
2023Q1,123,Grand St (L),Brooklyn,40.711926,-73.94067,370798
2023Q1,124,Montrose Av (L),Brooklyn,40.707739,-73.93985,393027
2023Q1,125,Morgan Av (L),Brooklyn,40.706152,-73.933147,403238
2023Q1,126,Jefferson St (L),Brooklyn,40.706607,-73.922913,439974
2023Q1,127,DeKalb Av (L),Brooklyn,40.703811,-73.918425,653486
2023Q1,129,Halsey St (L),Queens,40.695602,-73.904084,458995
2023Q1,13,"28 St (R,W)",Manhattan,40.745494,-73.988691,636473
2023Q1,130,Wilson Av (L),Brooklyn,40.688764,-73.904046,243849
2023Q1,131,Bushwick Av-Aberdeen St (L),Brooklyn,40.682829,-73.905249,135476
2023Q1,133,Atlantic Av (L),Brooklyn,40.675345,-73.903097,90257
2023Q1,134,Sutter Av (L),Brooklyn,40.669367,-73.901975,135502
2023Q1,135,Livonia Av (L),Brooklyn,40.664038,-73.900571,174233
2023Q1,136,New Lots Av (L),Brooklyn,40.658733,-73.899232,191704
2023Q1,137,East 105 St (L),Brooklyn,40.650573,-73.899485,156407
2023Q1,138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646654,-73.90185,188080
2023Q1,14,"23 St (R,W)",Manhattan,40.741303,-73.989344,1017061
2023Q1,141,Park Pl (S),Brooklyn,40.674772,-73.957624,83653
2023Q1,143,Inwood-207 St (A),Manhattan,40.868072,-73.919899,400540
2023Q1,144,Dyckman St (A),Manhattan,40.865491,-73.927271,307707
2023Q1,145,190 St (A),Manhattan,40.859022,-73.93418,213387
2023Q1,146,181 St (A),Manhattan,40.851695,-73.937969,470779
2023Q1,147,175 St (A),Manhattan,40.847391,-73.939704,545250
2023Q1,149,163 St-Amsterdam Av (C),Manhattan,40.836013,-73.939892,203022
2023Q1,150,155 St (C),Manhattan,40.830518,-73.941514,128496
2023Q1,151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944216,2325232
2023Q1,152,"135 St (C,B)",Manhattan,40.817894,-73.947649,262491
2023Q1,153,"125 St (A,C,B,D)",Manhattan,40.811109,-73.952343,1365291
2023Q1,154,"116 St (C,B)",Manhattan,40.805085,-73.954882,363165
2023Q1,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800603,-73.958161,399164
2023Q1,156,"103 St (C,B)",Manhattan,40.796092,-73.961454,239241
2023Q1,157,"96 St (C,B)",Manhattan,40.791642,-73.964696,498958
2023Q1,158,"86 St (C,B)",Manhattan,40.785868,-73.968916,571306
2023Q1,159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972143,719355
