station_complex_id,station_complex,latitude,longitude,Georeference,borough
A002,"Lexington Av (N,R,W)/59 St (4,5,6)",40.76266,-73.967255,POINT (-73.967255 40.76266),M
A006,"5 Av-59 St (N,R,W)",40.764812,-73.97335,POINT (-73.97335 40.764812),M
A010,"57 St-7 Av (N,Q,R,W)",40.764664,-73.98066,POINT (-73.98066 40.764664),M
A013,"49 St (N,R,W)",40.7599,-73.98414,POINT (-73.98414 40.7599),M
A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",40.749718,-73.98782,POINT (-73.98782 40.749718),M
A027,"28 St (R,W)",40.745495,-73.98869,POINT (-73.98869 40.745495),M
A030,"23 St (R,W)",40.741302,-73.98934,POINT (-73.98934 40.741302),M
A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735737,-73.98995,POINT (-73.98995 40.735737),M
A038,"8 St-New York University (R,W)",40.730328,-73.99263,POINT (-73.99263 40.730328),M
A041,"Prince St (R,W)",40.72433,-73.9977,POINT (-73.9977 40.72433),M
A043,"Canal St (J,N,Q,R,W,Z,6)",40.71953,-73.99989,POINT (-73.99989 40.71953),M
A047,"City Hall (R,W)",40.713284,-74.00698,POINT (-74.00698 40.713284),M
A054,"Rector St (R,W)",40.70722,-74.01334,POINT (-74.01334 40.70722),M
A064,"Bowery (J,Z)",40.72028,-73.99391,POINT (-73.99391 40.72028),M
A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",40.71324,-74.0034,POINT (-74.0034 40.71324),M
A083,"Broad St (J,Z)",40.706474,-74.011055,POINT (-74.011055 40.706474),M
B004,"7 Av (B,Q)",40.67705,-73.97237,POINT (-73.97237 40.67705),BK
B009,Park Pl (S),40.67477,-73.95763,POINT (-73.95763 40.67477),BK
B013,"Prospect Park (B,Q,S)",40.661613,-73.96225,POINT (-73.96225 40.661613),BK
B014,Parkside Av (Q),40.655293,-73.961494,POINT (-73.961494 40.655293),BK
B016,"Church Av (B,Q)",40.650528,-73.96298,POINT (-73.96298 40.650528),BK
B017,Beverley Rd (Q),40.64403,-73.96449,POINT (-73.96449 40.64403),BK
B018,Cortelyou Rd (Q),40.640926,-73.96389,POINT (-73.96389 40.640926),BK
B019,"Newkirk Plaza (B,Q)",40.635082,-73.96279,POINT (-73.96279 40.635082),BK
B020,Avenue H (Q),40.62927,-73.96164,POINT (-73.96164 40.62927),BK
B021,Avenue J (Q),40.62504,-73.9608,POINT (-73.9608 40.62504),BK
B022,Avenue M (Q),40.61762,-73.9594,POINT (-73.9594 40.61762),BK
B024,"Kings Hwy (B,Q)",40.60867,-73.95773,POINT (-73.95773 40.60867),BK
B025,Avenue U (Q),40.5993,-73.95593,POINT (-73.95593 40.5993),BK
B026,Neck Rd (Q),40.595245,-73.95516,POINT (-73.95516 40.595245),BK
B027,"Sheepshead Bay (B,Q)",40.586895,-73.954155,POINT (-73.954155 40.586895),BK
B029,"Brighton Beach (B,Q)",40.57762,-73.96137,POINT (-73.96137 40.57762),BK
B032,Ocean Pkwy (Q),40.576313,-73.9685,POINT (-73.9685 40.576313),BK
C008,"DeKalb Av (B,Q,R)",40.690636,-73.98183,POINT (-73.98183 40.690636),BK
C010,Union St (R),40.677315,-73.98311,POINT (-73.98311 40.677315),BK
C012,"4 Av (F,G)/9 St (R)",40.67085,-73.988304,POINT (-73.988304 40.67085),BK
C014,Prospect Av (R),40.665413,-73.992874,POINT (-73.992874 40.665413),BK
C016,25 St (R),40.660397,-73.99809,POINT (-73.99809 40.660397),BK
C018,"36 St (D,N,R)",40.655144,-74.00355,POINT (-74.00355 40.655144),BK
C019,45 St (R),40.648937,-74.01001,POINT (-74.01001 40.648937),BK
C020,53 St (R),40.64507,-74.01403,POINT (-74.01403 40.64507),BK
C021,"59 St (N,R)",40.64136,-74.01788,POINT (-74.01788 40.64136),BK
C023,Bay Ridge Av (R),40.634968,-74.02338,POINT (-74.02338 40.634968),BK
C024,77 St (R),40.62974,-74.02551,POINT (-74.02551 40.62974),BK
C025,86 St (R),40.62269,-74.0284,POINT (-74.0284 40.62269),BK
C027,Bay Ridge-95 St (R),40.616623,-74.030876,POINT (-74.030876 40.616623),BK
D002,8 Av (N),40.635063,-74.01172,POINT (-74.01172 40.635063),BK
D003,Fort Hamilton Pkwy (N),40.631386,-74.00535,POINT (-74.00535 40.631386),BK
D008,18 Av (N),40.62067,-73.99042,POINT (-73.99042 40.62067),BK
D009,20 Av (N),40.61741,-73.98502,POINT (-73.98502 40.61741),BK
D010,Bay Pkwy (N),40.611816,-73.98185,POINT (-73.98185 40.611816),BK
D012,Kings Hwy (N),40.603924,-73.980354,POINT (-73.980354 40.603924),BK
D015,Avenue U (N),40.597473,-73.97913,POINT (-73.97913 40.597473),BK
D016,86 St (N),40.59272,-73.97823,POINT (-73.97823 40.59272),BK
E001,9 Av (D),40.646294,-73.99432,POINT (-73.99432 40.646294),BK
E003,Fort Hamilton Pkwy (D),40.640915,-73.9943,POINT (-73.9943 40.640915),BK
E004,50 St (D),40.63626,-73.99479,POINT (-73.99479 40.63626),BK
E005,55 St (D),40.631435,-73.995476,POINT (-73.995476 40.631435),BK
E006,New Utrecht Av (N)/62 St (D),40.626472,-73.99635,POINT (-73.99635 40.626472),BK
E009,71 St (D),40.61959,-73.99886,POINT (-73.99886 40.61959),BK
E011,79 St (D),40.613503,-74.00061,POINT (-74.00061 40.613503),BK
E012,18 Av (D),40.607952,-74.00174,POINT (-74.00174 40.607952),BK
E013,20 Av (D),40.604557,-73.99817,POINT (-73.99817 40.604557),BK
E014,Bay Pkwy (D),40.601875,-73.99373,POINT (-73.99373 40.601875),BK
E015,25 Av (D),40.597706,-73.98683,POINT (-73.98683 40.597706),BK
E016,Bay 50 St (D),40.58884,-73.983765,POINT (-73.983765 40.58884),BK
G009,"Coney Island-Stillwell Av (D,F,N,Q)",40.577423,-73.98123,POINT (-73.98123 40.577423),BK
G011,"West 8 St-New York Aquarium (F,Q)",40.576126,-73.97594,POINT (-73.97594 40.576126),BK
H006,3 Av (L),40.73285,-73.98612,POINT (-73.98612 40.73285),M
H007,1 Av (L),40.730953,-73.98163,POINT (-73.98163 40.730953),M
H009,Bedford Av (L),40.717304,-73.95687,POINT (-73.95687 40.717304),BK
H012,Lorimer St (L)/Metropolitan Av (G),40.71406,-73.95027,POINT (-73.95027 40.71406),BK
H013,Graham Av (L),40.714565,-73.94405,POINT (-73.94405 40.714565),BK
H015,Grand St (L),40.711926,-73.94067,POINT (-73.94067 40.711926),BK
H017,Montrose Av (L),40.70774,-73.93985,POINT (-73.93985 40.70774),BK
H019,Morgan Av (L),40.706154,-73.93314,POINT (-73.93314 40.706154),BK
H022,Jefferson St (L),40.706608,-73.92291,POINT (-73.92291 40.706608),BK
H023,DeKalb Av (L),40.70381,-73.91843,POINT (-73.91843 40.70381),BK
H026,"Myrtle-Wyckoff Avs (L,M)",40.699814,-73.91158,POINT (-73.91158 40.699814),BK
H028,Halsey St (L),40.695602,-73.90408,POINT (-73.90408 40.695602),BK
H032,Wilson Av (L),40.688763,-73.904045,POINT (-73.904045 40.688763),BK
H033,Bushwick Av-Aberdeen St (L),40.68283,-73.90525,POINT (-73.90525 40.68283),BK
H035,Atlantic Av (L),40.675346,-73.9031,POINT (-73.9031 40.675346),BK
H037,Sutter Av (L),40.66937,-73.90198,POINT (-73.90198 40.66937),BK
H038,Livonia Av (L),40.66404,-73.90057,POINT (-73.90057 40.66404),BK
H039,New Lots Av (L),40.658733,-73.89923,POINT (-73.89923 40.658733),BK
H040,East 105 St (L),40.650574,-73.89948,POINT (-73.89948 40.650574),BK
H041,Canarsie-Rockaway Pkwy (L),40.646652,-73.90185,POINT (-73.90185 40.646652),BK
J001,"Marcy Av (J,M,Z)",40.70836,-73.957756,POINT (-73.957756 40.70836),BK
J003,"Hewes St (J,M)",40.70687,-73.95343,POINT (-73.95343 40.70687),BK
J005,"Lorimer St (J,M)",40.70387,-73.94741,POINT (-73.94741 40.70387),BK
J007,"Flushing Av (J,M)",40.70026,-73.941124,POINT (-73.941124 40.70026),BK
J009,"Myrtle Av (J,M,Z)",40.69721,-73.93565,POINT (-73.93565 40.69721),BK
J012,Kosciuszko St (J),40.69334,-73.92882,POINT (-73.92882 40.69334),BK
J013,"Gates Av (J,Z)",40.68963,-73.92227,POINT (-73.92227 40.68963),BK
J016,Halsey St (J),40.68637,-73.91656,POINT (-73.91656 40.68637),BK
J017,"Chauncey St (J,Z)",40.68289,-73.91045,POINT (-73.91045 40.68289),BK
J020,Alabama Av (J),40.67699,-73.89865,POINT (-73.89865 40.67699),BK
